gene	median	quant
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000001_disco_tree3_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000016_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000016_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000016_disco_tree5_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000016_disco_tree6_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000016_disco_tree7_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree4_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000236_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000248_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000290_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000299_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000299_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000383_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000383_disco_tree2_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000502_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000531_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000695_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0000881_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001078_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001650_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001668_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001846_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001856_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0001878_disco_tree1_aligned_trim.faa	0	0
13_distribution_divergence/01_input_alignments/OG0002321_disco_tree1_aligned_trim.faa	0	0
