gene	median
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree5_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree6_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000031_disco_tree4_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree5_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree6_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree7_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree8_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree3_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree6_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000103_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000163_disco_tree4_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000165_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000189_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000189_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000247_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000269_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000283_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000301_disco_tree3_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000303_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000303_disco_tree3_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000316_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000330_disco_tree3_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000367_disco_tree3_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000383_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000413_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000414_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000426_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000461_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000469_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000472_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000478_disco_tree1_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000478_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000487_disco_tree2_aligned_trim.faa	0
13_distribution_divergence/01_input_alignments/OG0000487_disco_tree3_aligned_trim.faa	0
